numero_conteneur,numero_plombage,bruit_fond_debit_nsvh,bruit_fond_cps,interieur_conteneur_debit_nsvh,interieur_conteneur_cps,exterieur_conteneur_debit_nsvh,exterieur_conteneur_cps,apres_plombage_conteneur_debit_nsvh,apres_plombage_conteneur_cps,dose_gamma_chargement_debit_nsvh,dose_gamma_chargement_cps,contamination
CT3338,PL538469,30.63,0.93,33.25,1.06,27.08,0.83,32.89,1.01,79.89,1.05,1
CT1674,PL221789,39.08,0.61,36.72,0.68,38.14,0.55,39.97,0.6,83.99,1.13,1
CT0815,PL920023,57.17,1.72,55.01,1.77,55.8,1.79,56.26,1.8,87.09,1.34,1
CT1741,PL653999,81.58,1.2,81.43,1.3,83.9,1.26,79.66,1.23,60.57,0.79,0
CT1781,PL833547,45.34,0.54,47.6,0.48,45.76,0.53,41.94,0.61,37.41,1.45,0
CT2407,PL967969,83.43,1.27,85.49,1.19,82.32,1.3,78.25,1.24,87.46,1.33,0
CT3982,PL357324,58.62,1.09,58.82,1.02,58.78,1.18,57.12,1.26,73.79,1.59,1
CT3394,PL456992,39.82,1.42,38.16,1.56,41.43,1.39,42.71,1.37,50.54,0.75,1
CT2600,PL244539,63.24,0.78,63.7,0.69,62.57,0.78,66.46,0.8,70.24,0.56,0
CT0444,PL172991,74.75,1.61,77.38,1.88,76.35,1.57,74.65,1.63,71.91,1.72,0
CT1021,PL358090,41.89,1.05,38.88,1.11,41.36,1.14,36.99,1.14,57.6,0.47,1
CT2860,PL303981,30.22,2.0,30.09,2.11,27.29,2.07,31.17,2.07,49.18,1.87,1
CT1134,PL126734,56.06,1.04,57.86,0.9,58.71,1.03,55.66,1.09,51.47,0.83,0
CT2226,PL315048,81.64,1.39,84.28,1.39,80.92,1.35,84.83,1.25,47.51,1.87,0
CT3560,PL777623,73.58,1.02,73.37,0.98,77.94,1.09,71.24,0.86,67.6,0.65,0
CT3671,PL512104,69.73,1.18,69.3,1.22,69.28,1.21,70.91,1.1,68.51,1.09,0
CT3741,PL286339,41.88,0.99,43.08,1.13,41.7,1.02,39.74,0.92,66.33,1.14,1
CT3711,PL289139,61.47,1.7,59.43,1.73,64.3,1.78,62.3,1.52,74.84,1.5,1
CT2816,PL917114,74.02,0.63,73.64,0.56,73.74,0.76,76.74,0.62,86.88,1.36,1
CT3443,PL507505,38.93,1.02,38.61,1.01,40.24,1.12,40.55,0.99,84.82,0.4,1
CT4555,PL730527,63.45,1.07,59.69,1.07,66.05,0.9,63.96,1.08,50.31,0.66,0
CT2850,PL807650,64.41,0.67,60.94,0.57,65.98,0.67,67.38,0.65,53.15,1.0,0
CT0705,PL179459,83.64,1.01,85.41,1.05,85.41,0.84,82.34,0.99,64.78,1.55,0
CT0957,PL536341,61.9,0.69,60.74,0.68,65.9,0.65,63.21,0.64,89.97,1.81,1
CT0465,PL335362,79.3,1.13,76.53,1.35,77.74,1.1,79.45,1.24,39.9,0.85,0
CT0937,PL244528,49.93,1.2,47.92,1.16,54.23,0.98,50.12,1.17,84.44,0.44,1
CT0314,PL908350,54.85,0.92,51.26,0.87,54.02,0.89,58.57,0.87,68.54,1.15,1
CT0736,PL450605,66.92,0.86,66.57,0.92,70.06,0.92,67.86,0.92,75.84,1.5,0
CT0787,PL548345,47.63,0.46,45.44,0.31,48.55,0.25,49.83,0.37,67.16,1.07,1
CT1270,PL599097,49.1,0.44,50.07,0.3,46.91,0.48,51.58,0.45,68.29,0.37,1
CT2417,PL317285,56.85,1.69,55.07,1.66,56.93,1.67,58.28,1.74,35.41,0.54,0
CT4100,PL276806,44.92,0.55,47.22,0.64,43.11,0.51,48.91,0.67,57.63,1.24,1
CT2015,PL700530,48.84,0.74,50.63,0.87,49.99,1.03,50.54,0.81,89.57,0.82,1
CT4204,PL230544,39.51,1.83,36.97,1.75,38.5,1.82,42.98,1.91,53.97,0.97,1
CT2970,PL741269,72.07,0.49,71.16,0.59,71.01,0.52,70.85,0.4,46.92,0.69,0
CT0816,PL313920,41.91,1.38,44.14,1.34,44.16,1.37,41.64,1.35,54.62,1.71,1
CT4631,PL112828,82.49,1.45,85.9,1.4,80.58,1.22,82.95,1.47,65.8,1.97,0
CT1116,PL347736,36.34,1.19,35.53,1.18,37.25,1.28,36.4,1.26,70.22,1.9,1
CT0793,PL629036,47.74,1.65,50.21,1.87,44.93,1.52,47.9,1.73,38.66,1.63,0
CT0406,PL727234,80.54,0.99,81.02,1.01,81.56,1.01,80.15,1.18,40.03,1.45,0
CT4599,PL340891,63.69,0.49,64.27,0.37,61.06,0.38,63.68,0.39,81.21,1.76,1
CT0999,PL807689,42.91,0.6,44.24,0.5,43.96,0.51,37.79,0.49,31.94,0.91,0
CT4926,PL149812,42.45,0.71,40.76,0.62,43.03,0.74,41.21,0.73,35.49,1.61,0
CT4150,PL933525,57.61,1.3,57.68,1.43,54.49,1.18,56.47,1.16,88.79,1.49,1
CT3289,PL771447,87.3,0.86,90.24,0.7,88.44,1.04,90.86,0.99,47.91,1.42,0
CT4283,PL293226,75.45,0.45,77.12,0.53,76.56,0.35,74.38,0.59,82.51,1.08,0
CT2359,PL429793,69.05,0.95,67.42,0.84,72.48,0.79,69.84,0.93,65.73,1.27,0
CT4116,PL117297,34.58,1.45,36.37,1.53,33.96,1.49,36.22,1.48,55.86,0.66,1
CT0825,PL921052,30.3,0.82,31.07,0.85,28.27,0.89,28.85,0.95,33.7,1.69,0
CT3951,PL694736,43.57,1.72,46.14,1.71,45.82,1.68,45.19,1.74,72.0,1.95,1
CT4356,PL881198,34.78,0.47,36.59,0.39,31.68,0.55,32.79,0.41,62.15,1.31,1
CT4772,PL953900,64.78,1.08,62.91,1.14,63.12,1.08,68.2,0.99,56.41,1.43,0
CT3731,PL352419,43.6,1.71,44.87,1.69,41.47,1.57,43.83,1.82,77.19,0.4,1
CT3404,PL763096,48.99,0.59,48.36,0.61,48.99,0.48,50.87,0.67,88.28,1.43,1
CT0545,PL903328,85.5,1.86,85.12,1.84,83.9,1.93,85.45,1.85,48.63,1.16,0
CT1020,PL529802,48.27,0.54,49.45,0.49,46.26,0.42,50.86,0.38,70.45,1.72,1
CT0264,PL225657,60.99,1.44,59.22,1.45,60.0,1.42,59.98,1.6,75.32,1.5,1
CT1484,PL526752,49.82,1.4,50.56,1.27,50.67,1.56,52.33,1.39,59.79,0.51,0
CT3726,PL645735,57.38,1.76,62.42,1.71,59.52,1.74,59.9,1.69,79.93,1.36,1
CT4980,PL237686,64.27,0.52,67.83,0.49,62.89,0.58,62.05,0.43,70.71,1.52,0
CT0475,PL956748,54.91,1.28,53.02,1.25,53.36,1.2,50.97,1.33,89.35,1.72,1
CT1620,PL673044,39.88,1.56,36.45,1.61,40.7,1.53,38.18,1.45,60.6,0.74,1
CT3358,PL146850,50.46,1.4,48.75,1.29,49.21,1.51,51.32,1.35,69.16,0.61,1
CT1289,PL502400,59.52,1.19,60.72,1.28,60.43,1.3,59.85,1.35,83.14,0.67,1
CT3070,PL739341,46.41,0.77,49.79,0.72,49.39,0.91,49.41,0.89,59.66,0.76,1
CT1891,PL249369,49.58,1.63,51.69,1.74,52.97,1.8,49.88,1.83,87.09,0.44,1
CT0325,PL757409,46.06,1.09,45.49,1.14,49.13,1.15,44.3,1.13,88.75,1.85,1
CT0827,PL228148,84.29,1.09,83.25,1.08,86.43,1.15,82.34,0.89,74.69,1.01,0
CT0289,PL978338,84.21,1.29,84.14,1.23,83.09,1.4,83.7,1.18,79.75,1.05,0
CT0690,PL775510,46.76,0.36,46.92,0.33,48.34,0.2,44.3,0.4,62.78,0.61,1
CT2543,PL949881,75.62,1.8,75.46,1.74,75.15,1.83,75.24,1.95,58.08,1.43,0
CT2820,PL548330,44.21,1.27,41.11,1.26,43.63,1.12,42.46,1.25,51.3,0.59,1
CT1722,PL302503,33.82,1.49,31.99,1.57,32.48,1.52,35.13,1.6,39.96,1.46,0
CT4850,PL470858,30.87,0.96,35.71,0.88,30.75,0.93,34.34,0.74,43.84,0.91,1
CT1778,PL590457,84.69,0.78,83.9,0.64,84.39,0.67,84.09,0.75,37.27,0.61,0
CT0875,PL483934,76.8,1.1,74.68,0.98,78.03,1.08,78.64,1.02,89.2,1.43,1
CT2598,PL798012,33.16,1.41,33.08,1.5,30.98,1.38,31.66,1.39,51.52,0.54,1
CT4892,PL145740,57.23,1.14,56.63,1.16,57.54,1.09,58.21,1.12,38.79,0.56,0
CT3739,PL472013,83.53,0.83,83.67,0.88,84.12,0.89,84.83,0.83,46.49,1.95,0
CT0125,PL803550,49.52,1.76,49.08,1.81,52.15,1.71,49.9,1.64,70.79,0.84,1
CT4662,PL155350,67.34,1.17,68.58,1.13,68.7,1.21,68.7,1.22,89.24,0.4,1
CT0766,PL416837,85.34,1.18,84.1,0.95,85.79,1.18,86.92,1.21,63.07,1.0,0
CT2090,PL324695,49.55,1.49,49.27,1.55,49.9,1.4,46.62,1.6,87.47,0.46,1
CT3078,PL259210,32.97,1.3,31.32,1.37,32.98,1.3,32.09,1.1,78.36,0.89,1
CT1212,PL886275,77.09,1.06,76.2,1.01,72.04,1.28,75.63,1.21,47.41,1.19,0
CT0114,PL336584,34.33,1.11,33.51,1.07,36.21,1.18,35.71,1.23,55.29,1.61,1
CT3319,PL241330,51.3,1.4,50.86,1.35,52.47,1.39,50.79,1.23,30.86,1.66,0
CT4765,PL295877,60.76,1.44,58.8,1.34,61.53,1.53,60.3,1.48,85.67,1.99,1
CT0153,PL994498,57.48,1.01,56.24,0.97,57.42,0.94,61.3,1.0,82.69,1.62,1
CT0675,PL791095,37.39,1.68,40.97,1.63,37.74,1.44,38.19,1.47,48.37,1.18,1
CT1550,PL626486,70.55,0.48,68.64,0.3,70.49,0.64,69.32,0.29,89.8,1.58,1
CT0071,PL778843,35.85,1.37,36.8,1.28,37.23,1.39,36.89,1.39,84.17,1.89,1
CT3504,PL113140,37.54,1.47,35.77,1.38,39.82,1.45,37.86,1.5,87.51,1.05,1
CT0741,PL464778,52.55,1.62,54.09,1.62,51.0,1.63,53.2,1.68,85.13,1.79,1
CT4243,PL921860,46.83,0.48,47.99,0.41,45.43,0.48,45.6,0.38,40.5,0.8,0
CT2344,PL760008,81.82,1.87,84.55,1.95,82.36,1.77,79.72,1.78,51.07,0.77,0
CT2913,PL402066,66.67,0.54,65.72,0.57,71.46,0.52,68.83,0.35,37.51,1.18,0
CT3114,PL854444,85.05,1.52,89.41,1.54,89.38,1.61,87.75,1.71,70.94,0.45,0
CT0099,PL453531,39.77,1.47,42.52,1.39,39.77,1.42,38.71,1.44,67.03,1.82,1
CT0935,PL263273,69.25,0.57,67.43,0.48,72.29,0.51,67.81,0.48,71.59,1.88,0
CT2518,PL345014,54.31,1.75,54.73,1.99,53.4,1.86,50.65,1.74,80.97,0.82,1
CT4795,PL912283,77.75,1.66,77.75,1.74,78.4,1.78,79.39,1.63,58.02,1.34,0
CT0037,PL970910,72.51,1.99,71.4,2.16,71.91,2.05,73.54,2.01,82.02,0.97,1
CT0746,PL279208,32.73,1.15,29.7,1.19,30.9,1.12,32.72,1.19,86.08,1.03,1
CT3390,PL260381,31.06,0.93,29.54,0.93,29.91,0.79,30.99,0.98,69.02,1.69,1
CT3069,PL241214,87.9,1.52,87.75,1.49,91.73,1.62,90.71,1.54,80.3,0.94,0
CT0026,PL891743,46.14,0.55,46.48,0.6,44.22,0.49,46.28,0.55,66.15,0.94,1
CT1268,PL512498,49.2,1.89,48.0,1.89,51.39,1.82,49.16,1.88,85.1,0.76,1
CT4743,PL922513,64.16,0.46,62.9,0.52,64.0,0.54,70.08,0.66,80.56,1.97,1
CT3325,PL879446,88.32,0.41,92.03,0.28,92.56,0.33,89.53,0.28,52.1,1.75,0
CT3036,PL877499,47.97,1.71,50.24,1.89,53.68,1.68,48.88,1.61,40.54,0.81,0
CT3632,PL939188,63.54,0.53,64.59,0.53,61.88,0.3,68.06,0.64,50.29,1.62,0
CT3240,PL733065,40.49,1.69,39.6,1.68,37.79,1.85,39.39,1.75,69.2,1.0,1
CT1565,PL194914,73.85,1.33,72.12,1.37,72.87,1.34,74.96,1.09,57.76,1.73,0
CT3328,PL757011,55.17,1.25,55.29,1.28,56.66,1.28,51.04,1.28,69.29,1.76,1
CT1329,PL132265,48.18,0.57,50.35,0.55,44.54,0.67,47.15,0.6,68.13,1.14,1
CT3136,PL979381,81.19,0.87,80.93,0.89,76.02,0.82,82.32,0.97,63.22,0.91,0
CT4088,PL430814,72.35,1.26,72.75,1.12,69.58,1.47,76.38,1.1,68.74,1.12,0
CT4728,PL811111,37.72,0.83,35.14,0.9,38.84,0.77,35.09,0.84,46.47,1.73,1
CT2463,PL871246,44.38,0.66,41.47,0.63,41.77,0.59,46.46,0.69,62.62,1.75,1
CT4016,PL250158,69.37,1.1,69.43,0.92,69.65,1.02,65.75,1.02,86.53,0.37,1
CT1266,PL639812,83.48,1.26,84.22,1.24,83.1,1.2,85.14,1.1,74.99,0.63,0
CT3449,PL335718,48.67,0.88,48.04,0.95,51.35,0.95,52.07,0.94,35.33,1.72,0
CT3429,PL196044,84.02,1.58,83.55,1.49,82.08,1.71,84.56,1.65,41.59,0.84,0
CT1882,PL286626,50.36,1.32,45.39,1.34,51.99,1.21,46.87,1.28,85.28,1.69,1
CT2429,PL232311,77.65,0.83,74.04,1.06,80.35,0.77,77.31,0.83,53.97,1.15,0
CT3653,PL361501,54.2,0.5,54.04,0.5,51.69,0.35,54.43,0.42,43.02,1.4,0
CT0681,PL924273,79.07,0.6,78.38,0.68,76.54,0.57,79.46,0.6,72.82,0.9,0
CT2903,PL941531,33.26,0.78,34.3,0.75,33.45,0.79,33.14,0.66,55.9,0.5,1
CT1961,PL119623,44.51,0.7,45.9,0.61,44.91,0.84,46.36,0.65,89.56,0.52,1
CT2728,PL477539,37.49,1.54,35.8,1.53,39.6,1.4,38.51,1.61,64.17,0.48,1
CT2859,PL754801,46.29,0.73,44.85,0.75,46.03,0.93,46.43,0.64,40.77,0.48,0
CT4939,PL161844,84.77,1.24,85.64,1.11,84.33,1.26,82.29,1.34,70.14,1.53,0
CT1786,PL406691,32.0,1.84,31.67,1.68,32.63,1.76,32.44,1.8,75.58,1.18,1
CT2933,PL665856,31.73,1.22,30.81,1.18,27.68,1.15,30.02,1.33,47.22,0.63,1
CT4717,PL553830,38.73,1.15,36.8,1.1,40.26,0.99,38.22,1.17,41.57,1.09,0
CT4625,PL807173,59.54,1.01,58.68,0.95,59.35,0.9,56.99,1.07,34.19,1.7,0
CT1247,PL988266,78.92,0.71,77.79,0.74,77.74,0.8,78.52,0.87,44.71,1.52,0
CT0356,PL233272,70.39,1.34,70.22,1.3,69.22,1.45,71.74,1.34,64.28,0.53,0
CT3461,PL914660,66.93,1.31,67.63,1.33,69.56,1.35,69.72,1.38,78.96,0.95,1
CT4041,PL986364,44.58,1.48,43.91,1.37,44.37,1.58,46.99,1.51,55.24,0.69,1
CT4517,PL716410,74.05,1.27,73.95,1.34,73.04,1.15,75.46,1.13,57.35,0.92,0
CT1466,PL830880,83.01,1.29,83.88,1.24,85.26,1.37,82.62,1.3,80.47,0.53,0
CT4810,PL223765,33.28,1.73,34.9,1.6,37.14,1.74,38.4,1.85,60.55,0.64,1
CT1988,PL627007,62.64,0.72,63.6,0.9,63.48,0.69,60.8,0.68,66.96,0.76,0
CT4335,PL886708,79.53,1.8,79.42,1.74,82.51,1.71,78.69,1.82,40.59,1.34,0
CT3615,PL919812,84.47,0.96,87.08,0.98,82.05,0.95,85.86,0.85,57.78,1.95,0
CT1663,PL366997,84.7,0.7,85.13,0.6,81.63,0.72,83.49,0.58,52.59,1.15,0
CT3198,PL446130,37.41,0.4,33.81,0.39,37.68,0.46,38.66,0.4,83.99,1.08,1
CT0844,PL939070,36.42,1.72,37.86,1.84,39.45,1.68,39.55,1.71,86.78,1.81,1
CT0231,PL161087,55.65,1.04,55.17,1.15,52.2,1.18,56.59,1.11,69.39,1.32,1
CT4853,PL687515,86.17,1.25,86.89,1.14,84.07,1.31,84.99,1.28,37.96,1.77,0
CT0568,PL244356,68.34,1.64,67.71,1.69,67.59,1.61,66.95,1.53,73.24,1.52,0
CT1586,PL783889,37.83,1.32,38.54,1.08,38.39,1.47,37.44,1.21,44.64,1.21,0
CT0829,PL586261,46.38,1.06,47.09,1.03,44.26,1.22,47.35,1.22,42.29,1.76,0
CT0210,PL487261,30.95,1.66,35.01,1.9,30.25,1.59,30.87,1.66,60.2,1.96,1
CT2109,PL803650,72.26,1.94,70.32,1.92,73.42,1.96,73.8,1.92,78.44,0.79,0
CT0764,PL712380,84.9,0.42,89.14,0.54,86.25,0.39,84.09,0.45,48.26,1.75,0
CT1372,PL225885,67.2,1.71,67.28,1.88,70.32,1.67,70.63,1.46,79.17,1.09,1
CT1377,PL191751,35.92,1.36,37.39,1.35,31.8,1.41,34.64,1.21,59.84,1.97,1
CT1906,PL815080,60.15,1.61,59.48,1.55,61.4,1.7,59.35,1.59,84.69,1.6,1
CT0025,PL299041,31.24,1.09,30.01,1.24,32.09,1.28,32.07,1.22,56.32,1.78,1
CT0174,PL872838,67.51,1.82,69.51,1.77,69.93,1.81,68.37,1.78,85.85,1.64,1
CT4249,PL912853,47.26,1.74,46.18,1.71,48.16,1.72,49.32,1.59,35.1,1.68,0
CT0658,PL906790,89.51,0.88,88.19,0.96,85.38,0.88,90.69,0.8,41.57,2.0,0
CT1384,PL295716,38.9,1.09,35.36,1.11,39.16,1.04,40.58,1.22,67.59,0.58,1
CT2569,PL520182,56.65,1.93,57.68,1.9,53.41,1.86,57.15,1.98,50.16,1.94,0
CT1645,PL662997,69.75,0.77,70.35,0.76,67.62,0.86,69.06,0.9,34.4,1.48,0
CT2848,PL687421,43.06,1.18,43.33,1.24,44.29,1.29,45.21,1.17,69.1,1.8,1
CT0449,PL156958,57.05,1.23,57.39,1.35,57.11,1.26,55.72,1.14,69.15,0.52,1
CT3355,PL851164,84.18,1.33,82.26,1.41,83.02,1.24,83.96,1.5,52.43,1.65,0
CT1712,PL280553,46.42,1.13,47.92,1.12,45.99,1.17,47.17,1.14,51.09,0.93,0
CT1469,PL535165,58.47,0.45,59.82,0.47,59.59,0.65,60.72,0.41,40.16,1.58,0
CT2595,PL980179,85.78,1.62,84.34,1.65,84.63,1.82,85.13,1.71,31.59,1.57,0
CT2762,PL372670,48.0,1.55,45.78,1.6,46.89,1.54,45.78,1.64,69.33,0.62,1
CT4212,PL743907,59.51,1.71,59.1,1.96,54.86,1.67,60.08,1.74,76.28,0.44,1
CT4358,PL317228,56.88,1.66,56.86,1.81,56.11,1.64,52.44,1.76,86.52,0.84,1
CT1614,PL655941,67.62,0.83,69.42,0.79,71.56,0.99,69.64,0.88,84.04,1.54,1
CT0542,PL478496,51.75,1.4,55.21,1.39,50.8,1.41,50.29,1.32,59.19,0.45,0
CT3789,PL552891,52.95,1.95,52.25,1.99,53.76,1.99,56.29,2.14,63.46,1.92,1
CT2133,PL338260,49.7,0.85,50.89,0.68,52.5,0.84,45.33,0.77,68.94,1.42,1
CT4247,PL794335,49.11,1.21,48.61,1.07,49.41,1.18,46.73,1.13,89.69,1.95,1
CT2553,PL368615,73.0,0.39,72.01,0.37,71.28,0.18,73.85,0.31,83.17,1.0,1
CT3827,PL281211,40.67,1.8,41.06,1.77,42.25,1.72,39.42,1.75,68.18,0.53,1
CT3117,PL212990,56.85,1.12,54.81,1.23,58.58,1.39,59.02,1.25,49.98,0.72,0
CT4953,PL313606,64.49,1.64,64.65,1.55,65.33,1.47,65.22,1.62,80.22,1.34,1
CT1899,PL107906,74.27,0.39,71.54,0.42,75.93,0.64,75.92,0.27,88.76,0.9,1
CT4938,PL369956,32.0,1.14,31.34,1.02,33.14,0.83,31.39,1.09,82.35,0.66,1
CT1202,PL489678,51.77,1.68,47.48,1.86,51.42,1.86,52.44,1.54,84.12,0.61,1
CT4461,PL587030,61.15,1.75,62.22,1.69,63.13,1.63,60.08,1.85,67.31,0.59,0
CT0263,PL937291,36.71,0.75,40.58,0.91,34.56,0.69,38.41,0.6,56.37,0.38,1
CT0696,PL286141,54.39,1.39,53.11,1.3,52.4,1.5,53.66,1.46,62.6,0.99,1
CT3603,PL924143,31.83,0.95,30.34,0.91,35.41,0.84,29.58,0.95,66.27,0.85,1
CT4604,PL890645,76.18,0.95,78.54,1.1,79.39,0.94,73.54,0.96,89.22,0.45,1
CT2714,PL131007,73.24,0.4,74.34,0.4,74.08,0.54,73.26,0.24,79.56,0.89,0
CT2799,PL891327,42.34,0.51,41.74,0.44,41.82,0.55,37.71,0.51,74.42,0.53,1
CT3843,PL285378,65.24,1.6,65.02,1.68,65.0,1.39,63.79,1.69,31.8,0.56,0
CT3564,PL977611,62.82,1.25,58.3,1.25,63.78,1.28,63.8,1.11,85.99,1.64,1
CT1257,PL237023,53.39,1.24,53.69,1.2,52.7,1.24,52.35,1.19,61.15,0.51,0
CT4270,PL815371,49.48,1.27,48.08,1.24,45.31,1.5,46.39,1.28,73.92,0.42,1
CT3137,PL571027,64.88,1.16,65.49,1.13,63.14,0.96,63.62,1.23,88.79,0.82,1
CT2722,PL378600,73.65,1.02,75.29,1.0,72.56,1.13,75.9,1.01,49.94,1.28,0
CT1827,PL350195,44.53,1.2,42.72,1.12,42.38,1.28,45.37,1.43,77.27,1.66,1
CT4805,PL950193,33.32,1.86,31.09,1.78,34.46,1.84,35.35,1.93,63.19,1.38,1
CT4009,PL199239,35.93,0.76,34.88,0.56,35.42,0.69,34.91,0.96,38.45,1.33,0
CT0883,PL651820,77.01,1.39,74.51,1.35,75.29,1.36,73.61,1.26,87.99,0.51,1
CT2741,PL599499,71.22,0.95,68.12,1.09,75.62,1.01,70.87,0.89,82.61,0.89,1
CT3266,PL731827,30.6,0.97,32.67,0.8,33.11,0.98,31.09,1.08,60.72,1.43,1
CT2002,PL175713,34.86,0.57,35.63,0.82,35.74,0.49,32.62,0.47,80.07,1.85,1
CT4345,PL389954,53.7,1.5,54.56,1.66,55.75,1.61,52.93,1.41,47.63,1.67,0
CT4059,PL792797,54.86,1.09,56.92,1.15,56.45,1.18,55.02,1.07,78.66,1.09,1
CT1719,PL799983,43.88,1.99,41.68,1.95,43.17,1.9,41.49,2.07,75.3,0.55,1
CT0678,PL969474,60.83,1.67,63.03,1.64,58.62,1.78,62.19,1.67,31.43,0.8,0
CT0557,PL653663,64.78,0.87,65.81,0.92,62.68,1.09,66.2,0.85,46.46,1.28,0
CT4328,PL349877,39.87,1.23,43.62,1.14,42.18,1.24,37.48,1.13,80.86,1.17,1
CT0811,PL592734,89.5,1.48,89.24,1.39,86.91,1.52,87.23,1.46,84.97,1.24,0
CT0774,PL792440,63.39,1.01,64.68,1.1,62.27,1.0,62.18,0.86,39.7,0.48,0
CT1814,PL424060,81.72,0.79,82.13,0.73,82.33,0.83,83.32,0.8,51.45,0.71,0
CT0396,PL673665,73.75,1.61,76.34,1.68,76.02,1.46,72.94,1.42,64.39,1.26,0
CT4768,PL581725,47.5,1.81,49.7,1.77,52.54,1.84,46.51,1.72,88.63,1.5,1
CT2584,PL996782,30.12,1.53,32.33,1.34,26.06,1.39,30.55,1.51,72.92,1.56,1
CT0604,PL987225,70.16,0.44,69.1,0.34,73.55,0.57,74.2,0.4,34.02,0.61,0
CT3412,PL792841,51.6,0.38,48.33,0.44,51.51,0.45,49.4,0.42,69.74,1.77,1
CT3099,PL846434,45.97,1.99,46.07,1.89,45.47,2.01,46.63,1.99,38.35,1.56,0
CT1779,PL776022,43.29,0.38,40.41,0.24,43.65,0.38,45.47,0.23,67.36,0.37,1
CT1100,PL548874,79.64,1.61,79.26,1.55,80.25,1.34,78.38,1.51,71.92,0.53,0
CT1744,PL767542,35.29,1.51,39.26,1.54,32.44,1.55,33.81,1.6,87.0,0.97,1
CT2877,PL738387,40.64,0.74,40.52,0.7,40.66,0.63,39.2,0.92,80.13,1.03,1
CT1884,PL218533,89.63,1.16,89.78,1.25,91.09,1.39,91.08,1.05,48.98,1.64,0
CT1866,PL279352,34.12,1.2,33.88,1.1,35.18,1.24,32.61,1.13,88.69,1.91,1
CT1665,PL582615,60.73,0.94,58.55,0.87,58.83,0.84,59.89,0.85,39.48,1.19,0
CT1517,PL870044,40.17,1.38,40.96,1.35,37.27,1.54,41.98,1.27,52.49,0.54,1
CT0864,PL464167,30.91,1.24,30.79,1.48,27.39,1.32,34.78,1.19,59.01,1.85,1
CT4320,PL518734,63.7,0.94,62.76,0.97,67.72,0.87,63.81,0.92,68.65,1.91,0
CT4312,PL735719,56.32,1.13,56.09,0.9,57.79,1.08,58.43,0.98,64.58,1.9,0
CT0651,PL712956,53.74,1.05,55.18,1.07,53.89,0.85,51.93,1.04,87.12,1.99,1
CT0033,PL358795,67.93,0.7,69.27,0.77,69.82,0.66,65.53,0.79,38.65,1.29,0
CT3454,PL735775,67.77,1.59,68.87,1.43,66.58,1.55,68.11,1.68,52.91,0.69,0
CT2974,PL254249,60.44,0.71,59.43,0.79,61.89,0.87,62.51,0.71,89.08,1.13,1
CT4354,PL788152,49.61,1.57,53.43,1.45,51.58,1.57,46.93,1.48,73.46,1.28,1
CT2050,PL584090,43.15,1.96,45.89,1.9,42.05,1.91,43.15,2.18,63.3,1.72,1
CT3683,PL745275,66.97,1.15,63.26,1.23,66.65,1.21,68.58,1.27,78.27,0.99,1
CT4122,PL980765,45.56,0.41,46.14,0.51,45.71,0.43,45.83,0.44,67.34,0.75,1
CT4434,PL523966,55.49,1.78,54.18,1.88,53.89,1.74,55.43,1.83,84.62,0.64,1
CT0252,PL737147,42.07,1.17,41.43,0.99,43.08,1.33,43.49,1.15,66.79,1.03,1
CT0045,PL229981,37.32,1.72,37.84,1.81,36.1,1.63,36.13,1.76,85.37,1.55,1
CT2149,PL951887,38.21,1.86,34.43,1.86,37.79,1.68,38.53,1.76,46.46,1.27,1
CT4364,PL534376,31.78,0.43,29.53,0.55,31.76,0.55,31.26,0.49,50.47,1.73,1
CT3093,PL354311,42.78,1.19,41.84,1.09,40.7,1.1,41.03,1.18,78.24,1.17,1
CT3182,PL780218,47.17,1.56,45.19,1.67,46.74,1.52,49.13,1.64,71.53,1.27,1
CT2977,PL760902,47.46,1.42,47.67,1.39,48.56,1.38,46.01,1.33,81.55,0.66,1
CT2633,PL506889,37.75,0.64,37.21,0.59,39.08,0.66,34.98,0.57,79.2,0.76,1
CT3851,PL572367,65.89,0.48,66.55,0.51,62.75,0.52,65.87,0.56,46.99,1.96,0
CT3655,PL319780,41.4,0.54,40.78,0.44,38.52,0.5,40.32,0.53,78.7,1.81,1
CT3927,PL982487,36.37,1.4,38.43,1.43,35.09,1.34,34.87,1.56,85.45,0.69,1
CT1726,PL494966,35.06,1.67,34.96,1.64,34.41,1.67,33.45,1.59,82.3,1.02,1
CT1032,PL777775,73.45,0.55,75.47,0.46,75.63,0.51,77.14,0.61,32.11,0.39,0
CT3802,PL938574,56.32,1.24,54.9,1.35,55.72,1.11,57.24,1.15,37.43,1.47,0
CT2680,PL149104,46.51,1.15,46.63,0.97,42.46,1.21,49.19,1.13,71.24,0.56,1
CT4361,PL632356,37.57,0.63,36.53,0.65,39.86,0.62,39.04,0.71,80.66,0.68,1
CT0796,PL890141,60.38,1.85,60.71,1.92,60.25,1.97,60.25,1.93,33.63,0.63,0
CT2440,PL106570,74.92,1.23,73.51,0.99,75.06,1.21,76.1,1.26,51.46,1.44,0
CT0148,PL747972,40.33,1.41,39.27,1.53,41.62,1.46,41.98,1.49,66.83,1.07,1
CT2914,PL667201,89.02,1.7,87.36,1.8,90.55,1.55,88.74,1.79,84.3,1.66,0
CT4110,PL577742,43.69,0.9,40.85,0.85,41.2,1.1,43.79,0.97,60.95,1.35,1
